"Tipo";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL DE RELIEGOS";"ZAPARDIEL SEGUNDA, 13";"24339";"León";"Santas Martas";"RELIEGOS";"RELIEGOS";"987317801";"";"";"";"";"";"";"";
"Albergue turístico";"SANTA CATALINA";"PASEO SANTA CATALINA, S/N";"24840";"León";"Vecilla (La)";"VECILLA DE CURUEÑO (LA)";"VECILLA DE CURUEÑO (LA)";"987741212";"";"";"";"granjasantacatalina@hotmail.com";"www.stacatalina.com";"";"";
"Albergue turístico de los Caminos a Santiago";"LA LAGUNA";"LA LAGUNA, 12";"24343";"León";"Burgo Ranero (El)";"BURGO RANERO (EL)";"BURGO RANERO (EL)";"987330094";"607163982";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE DE PEREGRINOS DE PUENTE DUERO";"CAMINO DE ANIAGO S/N";"47152";"Valladolid";"Valladolid";"PUENTE DUERO-ESPARRAGAL";"PUENTE DUERO-ESPARRAGAL";"678318188";"";"";"";"ajova_s@fahoo.es";"www.ajova.es";"";"";
"Albergue turístico de los Caminos a Santiago";"CONVENTO DE FONCEBADON";"TRAVESIA CALLE REAL, S/N";"24722";"León";"Santa Colomba de Somoza";"FONCEBADON";"FONCEBADON";"658974818";"";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ULTREIA";"LA FABA";"24000";"León";"Vega de Valcarce";"FABA (LA)";"FABA (LA)";"630836865";"";"";"";"";"";"";"";
"Albergue turístico";"NATUROCIO VALLE DE ARBAS";"LA VILLA, S/N";"24688";"León";"Villamanín";"CUBILLAS DE ARBAS";"CUBILLAS DE ARBAS";"629331738";"";"";"";"NATUROCIOLEON@GMAIL.COM";"";"";"";
"Albergue turístico de los Caminos a Santiago";"LA CASA DEL MAESTRO";"C/ DEL MEDIO, Nº 42";"47191";"Valladolid";"Ciguñuela";"CIGUÑUELA";"CIGUÑUELA";"983593000";"";"";"";"";"";"";"";
"Albergue turístico";"ALBERGUE RURAL DE PURAS";"C/ OLMO, Nº 3";"47419";"Valladolid";"Puras";"PURAS";"PURAS";"983626008";"646814817";"";"";"crpuras@terra.es";"";"";"";
"Albergue turístico";"LAS CORTAS DE BLAS";"FINCA CORTAS DE BLAS";"47014";"Valladolid";"Villalba de los Alcores";"VILLALBA DE LOS ALCORES";"*DISEMINADO*";"983104000";"";"";"983721517";"informacion@cortasdeblas.net";"www.cortasdeblas.net";"";"";
"Albergue de peregrinos sin fin lucrativo";"CASA NOSTRA";"CL/ REAL DE ORIENTE, 52";"09110";"Burgos";"Castrojeriz";"CASTROJERIZ";"CASTROJERIZ";"947377493";"";"";"";"encastrojeriz@hotmail.com";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"HORNILLOS DEL CAMINO";"CL/SAN ROMÁN,16";"09230";"Burgos";"Hornillos del Camino";"HORNILLOS DEL CAMINO";"HORNILLOS DEL CAMINO";"620966716";"947-411050";"";"";"balbinoac@hotmail.com";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"EL CAMINANTE";"CL/ MAYOR, 36";"09250";"Burgos";"Belorado";"BELORADO";"BELORADO";"947580231";"656873927";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"DIVINA PASTORA";"CL/ LAIN CALVO, 10";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947207952";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE TAU SANTA CLARA";"C/ SANTA CLARA, Nº 1";"47800";"Valladolid";"Medina de Rioseco";"MEDINA DE RIOSECO";"MEDINA DE RIOSECO";"983700982";"";"";"";"clarisasrioseco@gmail.com";"www.clarisasderioseco.blog";"";"";
"Albergue turístico";"SERRANO II";"ESTACION DE ESQUI Y DE MONTAÑA ""LA PINILLA""";"40592";"Segovia";"Cerezo de Arriba";"PINILLA (LA)";"PINILLA (LA)";"921551113";"";"";"921551141";"albergue@lapinilla.es";"www.lapinilla.es";"";"";
"Albergue turístico";"PUERTA DEL CAMPO";"CTRA. DE RIOFRIO, KM. 1,3";"40100";"Segovia";"Real Sitio de San Ildefonso";"SAN ILDEFONSO O LA GRANJA";"*DISEMINADO*";"921471861";"";"";"";"";"";"";"";
"Albergue turístico superior";"GRANJA ESCUELA CASAVIEJA";"CAMINO DE LAS NAVAS, S/N";"05450";"Ávila";"Casavieja";"CASAVIEJA";"CASAVIEJA";"918678522";"";"";"";"";"";"";"";
"Albergue turístico";"VALLE DE LA SALUD";"PARAJE MAJALECHAL";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"918666460";"670640762";"";"";"indose@tualbergue.com";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"LAS TENERIAS";"AVENIDA DE MADRID, 84";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"699327792";"";"";"";"raquel57@telefonica.net";"www.amigosdelcaminoenavila.org";"";"";
"Albergue turístico superior de los Caminos a Santiago";"CASA ANITA ALBERGUE T.S. CAMINOS SANTIAGO";"C/ SANTA MARTA, 3";"49626";"Zamora";"Santa Croya de Tera";"SANTA CROYA DE TERA";"SANTA CROYA DE TERA";"980645244";"980645244";"626239852";"";"info@alberguecasaanita.com";"www.alberguecasaanita.com";"";"";
"Albergue turístico superior";"ALBERGUE MUNICIPAL DE LA ERCINA";"AYUNTAMIENTO, 1";"24870";"León";"Ercina (La)";"ERCINA (LA)";"ERCINA (LA)";"648035831";"";"";"";"info@tesonserviciosdeportivos.com";"www.tesonserviciosdeportivos.com";"";"";
"Albergue turístico de los Caminos a Santiago";"EL PAJAR DE AGÉS";"CL/MEDIO PARALELA,12";"09199";"Burgos";"Arlanzón";"AGES";"AGES";"947400629";"699273856";"";"947400629";"casaroja2013@hotmail.es";"www.elpajardeages.es";"";"";
"Albergue turístico superior";"EL SOTO";"EL SOTO, 10";"24850";"León";"Boñar";"BOÑAR";"BOÑAR";"987735474";"";"";"";"";"";"";"";
"Albergue turístico";"BALCON DEL VAL";"C/ CAÑADA REAL, S/N";"40591";"Segovia";"Cerezo de Abajo";"CEREZO DE ABAJO";"CEREZO DE ABAJO";"921557390";"686801212";"";"";"balcondelval.@hotmail.com";"www.balcondelval.com";"";"";
"Albergue turístico de los Caminos a Santiago";"""VIRGEN DE LA CARBALLEDA""";"SANTUARIO DE LA CARBALLEDA/ Ctra. NAL. 525. Km, 49";"49326";"Zamora";"Rionegro del Puente";"RIONEGRO DEL PUENTE";"RIONEGRO DEL PUENTE";"606383753";"980652084";"980652132";"980652084";"mozarabesanabres@gmail.com / carballeda@wanadoo.es";"";"";"";
"Albergue turístico de los Caminos a Santiago";"VILLANUEVA DE CAMPEAN";"Callejón del Señor s/n";"49708";"Zamora";"Villanueva de Campeán";"VILLANUEVA DE CAMPEAN";"VILLANUEVA DE CAMPEAN";"696445337";"722160163";"";"";"aytovillanuevacampean@gmail.com";"";"";"";
"Albergue turístico";"AREVA VALSAIN";"CTRA. NAVACERRADA, Nº 7";"40109";"Segovia";"Real Sitio de San Ildefonso";"PRADERA DE NAVALHORNO (LA)";"PRADERA DE NAVALHORNO (LA)";"921434472";"635620400";"";"921434472";"areva@areva-valsain.com";"www.areva-valsain.com";"";"";
"Albergue turístico superior de los Caminos a Santiago";"CRISPETA";"CAMINO DE SANTIAGO, 1";"24523";"León";"Trabadelo";"TRABADELO";"TRABADELO";"987566529";"";"";"";"";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"EL PEREGRINO";"CTRA. NAL. VI";"24524";"León";"Vega de Valcarce";"PORTELA DE VALCARCE (LA)";"PORTELA DE VALCARCE (LA)";"987543197";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"CASA CERVIÑO";"AVDA. JUAN SEISDEDOS, Nº 45";"49394";"Zamora";"Requejo";"REQUEJO";"REQUEJO";"980620505";"980620505";"";"";"info@albergue-sanabria.com";"www.albergue-sanabria.com";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE VIEIRA";"AVENIDA PEREGRINOS, S/N";"24393";"León";"Santa Marina del Rey";"SAN MARTIN DEL CAMINO";"SAN MARTIN DEL CAMINO";"987378565";"";"";"";"";"";"";"";
"Albergue turístico superior";"""CASA DE LA GOTA""";"C/ LA CERRADA Nº5";"34820";"Palencia";"Barruelo de Santullán";"BARRUELO DE SANTULLAN";"BARRUELO DE SANTULLAN";"979606184";"979606125";"630944521";"";"ines@chechu.es";"www.casadelagota.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE DE PEREGRINOS DE MONTAMARTA";"Ctra. Villacastín a Vigo, Km - 261";"49149";"Zamora";"Montamarta";"MONTAMARTA";"MONTAMARTA";"980550112";"980550112";"";"";"aytomontamarta@yahoo.es";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE DE PEREGRINOS - ALCAÑICES";"C/ CAMINO DE LA ATALAYA, 2";"49500";"Zamora";"Alcañices";"ALCAÑICES";"ALCAÑICES";"980680001";"980680001";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE DE PEREGRINOS DE ""EL CUBO DEL VINO""";"C/ Eras de Arriba, s/n";"49710";"Zamora";"Cubo de Tierra del Vino (El)";"CUBO DE TIERRA DEL VINO (EL)";"CUBO DE TIERRA DEL VINO (EL)";"980577301";"980577301";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL  PEREGRINOS ""CIUDAD DE ZAMORA""";"CUESTA DE SAN CIPRIANO, S/N";"49001";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980509427";"980548700";"";"";"turismo@zamora.es";"www.ayto-zamora.org                 www.zamora.es";"";"";
"Albergue de peregrinos sin fin lucrativo";"SAN LÁZARO";"CL/MAYOR,24";"09259";"Burgos";"Redecilla del Camino";"REDECILLA DEL CAMINO";"REDECILLA DEL CAMINO";"947585221";"947580283";"";"947588078";"albergue-redeci@terra.es";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"EL PAJAR DE AGÉS-CASA ROJA";"CL/DEL MEDIO,2";"09199";"Burgos";"Arlanzón";"AGES";"AGES";"947400629";"699273856";"";"";"casaroja2013@hotmail.es";"www.elpajardeages.es";"";"";
"Albergue turístico";"ZARRIZUELAS";"C/ LA TORRE, Nº 2";"40340";"Segovia";"Aguilafuente";"AGUILAFUENTE";"AGUILAFUENTE";"606660365";"";"";"";"info@zarrizuelas.com";"www.zarrizuelas.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"A SANTIAGO";"CAMINO DE REDOÑA,S/N";"09250";"Burgos";"Belorado";"BELORADO";"BELORADO";"947562164";"677811847";"";"947562165";"albergueasantiago@hotmail.com";"www.a-santiago.es";"";"";
"Albergue turístico de los Caminos a Santiago";"SAN RAFAEL";"CL/ADOBERA,16";"09199";"Burgos";"Arlanzón";"AGES";"AGES";"947430392";"661263289";"";"947430322";"alberguesanrafael2010@hotmail.com";"www.actiweb.es/alberguesanrafael2010";"";"";
"Albergue turístico";"LA CASONA DEL PRADO";"CTRA. NAL 110, RIAZA A SORIA, KM. 114";"40500";"Segovia";"Riaza";"RIAZA";"RIAZA";"914012502";"";"";"";"";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"SANTA BRÍGIDA";"CL/REAL,19";"09227";"Burgos";"Hontanas";"HONTANAS";"HONTANAS";"628927317";"";"";"";"sanbolysantabrigida@hotmail.com";"";"";"";
"Albergue turístico superior";"EL DIABLO DE LA PEÑA";"TRAVESIA DEL CARES, 9";"24915";"León";"Posada de Valdeón";"CAIN DE VALDEON";"CAIN DE VALDEON";"987740562";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE DE PEREGRINOS DE BEJAR";"CTRA. CV-186, KM. 14";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923411720";"626547279";"";"";"albergue@barrocolorao.es";"www.barrocolorao.es";"";"";
"Albergue turístico superior";"GRANJA ESCUELA LA UNIVERSAL";"CAMINO DE SOTOSALBOS, S/N";"40180";"Segovia";"Santo Domingo de Pirón";"SANTO DOMINGO DE PIRON";"SANTO DOMINGO DE PIRON";"921404298";"";"";"";"";"";"";"";
"Albergue turístico";"CASA NATAL DE SANTA TERESA";"PLAZA DE LA SANTA, 2";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211030";"";"";"";"avila@ocdcastilla.org";"";"";"";
"Albergue turístico";"EL LABRIEGO";"DOCTORES BERMEJO Y CALDERON, 9";"24320";"León";"Sahagún";"SAHAGUN";"SAHAGUN";"622646136";"987782123";"";"";"reservas@alberguesellabriego.com";"alberguesellabriego.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"SAN ROQUE";"CL/CAYETANO ORTIZ,39";"09258";"Burgos";"Villambistia";"VILLAMBISTIA";"VILLAMBISTIA";"660797011";"";"";"947582044";"villambistia@diputaciondeburgos.net";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"ACACIO & ORIETTA";"CL/NUEVA,6";"09259";"Burgos";"Viloria de Rioja";"VILORIA DE RIOJA";"VILORIA DE RIOJA";"947585220";"";"";"";"casaperegrina@yahoo.es";"www.peregrinando.org";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE MUNICIPAL DE TÁBARA";"CAMINO DE SOTILLO S/N";"49140";"Zamora";"Tábara";"TABARA";"TABARA";"980590015";"980590015";"";"";"albergue@aytotabara.com  / alcalde@aytotabara.com";"www.aytotabara.com";"";"";
"Albergue de peregrinos sin fin lucrativo";"ALBERGUE DE PEREGRINOS MUNICIPAL DE LUBIÁN";"c/ SAN SEBASTIÁN, S/N";"49570";"Zamora";"Lubián";"LUBIAN";"LUBIAN";"639751533";"980624003";"";"980624003";"aytolubian@telefonica.net";"";"";"";
"Albergue turístico";"AIRES DEL DUERO";"ARRIBES DEL DUERO, 1";"37160";"Salamanca";"Villarino de los Aires";"VILLARINO DE LA AIRES";"VILLARINO DE LOS AIRES";"923142019";"980161854";"616001800";"980161854";"albergue@turma.es";"www.albergueairesdelduero.es";"";"";
"Albergue de peregrinos sin fin lucrativo";"SAN JAVIER";"PORTERIA, 6";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987618532";"";"";"";"";"";"";"";
"Albergue de peregrinos sin fin lucrativo";"LA HUTTE";"CL/EN MEDIO,38";"09199";"Burgos";"Atapuerca";"ATAPUERCA";"ATAPUERCA";"947430320";"661980297";"";"";"papasol@burgosturismorural.com";"www.burgosturismorural.com";"";"";
"Albergue turístico superior";"CENTRO INTERPRETACION NATURALEZA MATALLANA";"FINCA COTO BAJO DE MATALLANA, S/N.";"47639";"Valladolid";"Villalba de los Alcores";"VILLALBA DE LOS ALCORES";"*DISEMINADO*";"983721599";"983427174";"983427173";"";"matallana@dip-valladolid.es";"www.provinciadevalladolid.com";"";"";
"Albergue turístico";"RESIDENCIA PARA  ENSEÑANZA DE YOGA  Y  MEDITACION";"FINCA ARROYO DE LAS CORZAS, S/N";"40180";"Segovia";"Basardilla";"BASARDILLA";"BASARDILLA";"921120065";"916623952";"";"";"";"";"";"";
"Albergue turístico superior de los Caminos a Santiago";"VIA TRAJANA";"CALLE MAYOR, 55";"24343";"León";"Burgo Ranero (El)";"CALZADILLA DE LOS HERMANILLOS";"CALZADILLA DE LOS HERMANILLOS";"987337610";"";"";"";"";"";"";"";
"Albergue turístico";"ALBERGUE TURISTICO LOS MESONES";"CALZADA SALAMANCA, 20";"37100";"Salamanca";"Ledesma";"LEDESMA";"LEDESMA";"676218216";"606945043";"";"";"turrionsan@gmail.com";"";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE ""CASA LUZ""";"C/ PADRE VICENTE SALGADO, Nº 14";"49300";"Zamora";"Puebla de Sanabria";"PUEBLA DE SANABRIA";"PUEBLA DE SANABRIA";"980620268";"619751762";"";"";"info@alberguecasaluz.com";"www.alberguecasaluz.es";"";"";
"Albergue turístico de los Caminos a Santiago";"ALBERGUE DEL CANAL DE CASTILLA";"NAVE II DE LA DARSENA DEL CANAL DE CASTILLA.";"47800";"Valladolid";"Medina de Rioseco";"MEDINA DE RIOSECO";"MEDINA DE RIOSECO";"983701923";"983427174";"";"983427173";"canal.castilla@dip-valladolid.es";"www.provinciadevalladolid.com";"";"";
"Albergue turístico superior";"ALBERGUE DE SABERO";"AVDA. 10 DE ENERO, S/N";"24810";"León";"Sabero";"SABERO";"SABERO";"686207899";"";"";"";"info@avenesla.com";"www.avenesla.com";"";"";
"Albergue turístico superior";"CAÑADA REAL";"ANSELMO DE LA ORDEN, 15";"42146";"Soria";"Abejar";"ABEJAR";"ABEJAR";"975373297";"";"";"";"albergue-abejar@terra.es";"www.alberguedeabejar.com";"";"";
"Albergue turístico";"VILLARES DE ORBIGO";"ARNAL, 21";"24288";"León";"Villares de Órbigo";"VILLARES DE ORBIGO";"VILLARES DE ORBIGO";"987132935";"";"";"";"";"";"";"";
"Albergue turístico de los Caminos a Santiago";"DON CAMINO";"C/ LA RONDA Nº5";"34449";"Palencia";"Villalcázar de Sirga";"VILLALCAZAR DE SIRGA";"VILLALCAZAR DE SIRGA";"979888163";"620399040";"620116096";"";"aureafederico@hotmail.com";"";"";"";
"Albergue turístico";"PORTILLA";"CTRA. SANTANDER, 1";"24913";"León";"Boca de Huérgano";"PORTILLA DE LA REINA";"PORTILLA DE LA REINA";"987740473";"";"";"";"";"";"";"";
